Site Num,Latitude,Longitude,State,Time Zone,Annual NO2 Average
2004_2,39.739444,-75.558056,DE,America/New_York,8.785442847189517
2011_0,34.44551,-119.8284,CA,America/Los_Angeles,3.7186700767263425
4003_0,34.5959,-120.631315,CA,America/Los_Angeles,
3001_1,34.25239,-119.143182,CA,America/Los_Angeles,4.546299660520461
3001_2,39.838119,-104.94984,CO,America/Denver,15.452279104884747
3001_3,39.310833,-76.474444,MD,America/New_York,8.350685792299913
3001_4,40.787628,-74.676301,NJ,America/New_York,2.184837487203909
7004_0,37.205862,-107.254118,CO,America/Denver,2.649549657942663
28_0,39.7861,-104.9886,CO,America/Denver,25.766629350923438
7001_1,37.13678,-107.62863,CO,America/Denver,3.6991977580711453
7001_2,41.945874,-112.233973,UT,America/Denver,0.3287576751763846
7001_3,47.523355,-92.536305,MN,America/Chicago,5.1075715185150585
7003_0,37.10258,-107.870219,CO,America/Denver,4.815563701487702
9003_0,41.118333,-73.336667,CT,America/New_York,7.59899169740932
25_1,41.771444,-72.679923,CT,America/New_York,11.449211733338066
25_2,40.628056,-75.341111,PA,America/New_York,6.732988939409316
25_3,37.59088,-77.46925,VA,America/New_York,12.022809655574852
25_4,41.0954,-109.85,WY,America/Denver,1.586904165985616
41_1,38.895572,-76.958072,DC,America/New_York,10.422195590276033
41_2,35.2401,-80.785683,NC,America/New_York,6.381211328361026
43_0,38.921847,-77.013178,DC,America/New_York,8.46512330751117
50_0,38.970092,-77.016715,DC,America/New_York,8.72076631384091
51_0,38.89477,-76.953426,DC,America/New_York,13.00156086955572
35_1,26.132677,-80.169817,FL,America/New_York,13.44127667917265
35_2,25.785472,-80.284206,FL,America/New_York,9.895727524537609
32_1,30.356339,-81.635396,FL,America/New_York,6.539676578860132
32_2,29.51509,-98.620166,TX,America/Chicago,5.60788206685541
108_0,30.262778,-81.606833,FL,America/New_York,10.912764879392862
21_1,26.593808,-80.058492,FL,America/New_York,
21_2,38.013333,-87.577222,IN,America/Chicago,6.759411125888416
21_3,39.117219,-94.635605,KS,America/Chicago,7.890958490228614
21_4,29.996013,-90.11819,LA,America/Chicago,9.103991273189207
21_5,31.796218,-106.584434,NM,America/Denver,6.962573861982285
21_6,35.8652,-78.8197,NC,America/New_York,8.638115361240477
21_7,35.551868,-80.395039,NC,America/New_York,3.8698718006108397
21_8,32.836602,-79.956983,SC,America/New_York,5.489100334885453
18_1,27.785866,-82.739875,FL,America/New_York,3.3638612852693464
18_2,42.120229,-72.584503,MA,America/New_York,9.141724974929287
18_3,42.761387,-84.562779,MI,America/Detroit,5.847343031102452
18_4,42.862531,-71.38014,NH,America/New_York,1.946187200492993
18_5,36.809735,-107.652192,NM,America/Denver,5.67958262605138
18_6,48.459928,-122.520388,WA,America/Los_Angeles,
56_1,33.7784,-84.3914,GA,America/New_York,16.5853994071728
56_2,42.93257,-87.93434,WI,America/Chicago,12.033640634275258
76_1,41.7514,-87.713488,IL,America/Chicago,11.098095717631603
76_2,39.988842,-75.207205,PA,America/New_York,10.028396802834255
3103_0,41.965193,-87.876265,IL,America/Chicago,16.48593504486844
22_1,41.606662,-87.304943,IN,America/Chicago,9.20294288944122
22_2,31.787885,-106.683324,NM,America/Denver,5.48717455751114
22_3,36.11094,-80.224501,NC,America/New_York,5.709872252052901
22_4,29.863957,-94.317802,TX,America/Chicago,1.8190800337124726
78_1,39.810833,-86.114444,IN,America/Indiana/Indianapolis,8.45611134365173
78_2,30.350302,-95.425128,TX,America/Chicago,2.6303358811294304
